idVotacao,voto,deputado_id,deputado_nome
2196486-105,Não,178835,Afonso Motta
2196486-105,Sim,73579,Alberto Fraga
2196486-105,Sim,220576,Alfredo Gaspar
2196486-105,Não,123086,Átila Lira
2196486-105,Não,69871,Bacelar
2196486-105,Sim,204572,Capitão Alberto Neto
2196486-105,Sim,178829,Capitão Augusto
2196486-105,Sim,204460,Carlos Jordy
2196486-105,Sim,220666,Coronel Meira
2196486-105,Sim,178963,Covatti Filho
2196486-105,Não,62881,Danilo Forte
2196486-105,Não,204512,Delegado Marcelo Freitas
2196486-105,Sim,220619,Delegado Ramagem
2196486-105,Não,178929,Diego Garcia
2196486-105,Não,220528,Dr. Victor Linhalis
2196486-105,Não,220686,Duarte
2196486-105,Não,204541,Eduardo Bismarck
2196486-105,Não,220587,Gerlen Diniz
2196486-105,Não,204394,Gervásio Maia
2196486-105,Sim,204365,Gilson Marques
2196486-105,Não,178873,Helder Salomão
2196486-105,Sim,214694,Jorge Goetten
2196486-105,Não,141470,José Guimarães
2196486-105,Não,204391,José Nelto
2196486-105,Não,204474,Juarez Costa
2196486-105,Não,98057,Lafayette de Andrada
2196486-105,Não,74858,Lindbergh Farias
2196486-105,Não,204404,Lucas Redecker
2196486-105,Não,74041,Luiz Couto
2196486-105,Sim,220547,Marcos Pollon
2196486-105,Não,220668,Maria Arraes
2196486-105,Não,204479,Nicoletti
2196486-105,Sim,160601,Pr. Marco Feliciano
2196486-105,Não,220543,Ricardo Ayres
2196486-105,Não,220588,Roberto Duarte
2196486-105,Sim,220624,Robinson Faria
2196486-105,Não,220644,Rosângela Moro
2196486-105,Sim,220620,Rosângela Reis
2196486-105,Não,178887,Rubens Pereira Júnior
2196486-105,Não,73604,Rui Falcão
2196486-105,Não,204535,Sâmia Bomfim
2196486-105,Não,204425,Silvio Costa Filho
2196486-105,Não,220598,Tarcísio Motta
2196486-105,Não,220660,Yury do Paredão
2196486-105,Não,220536,Zé Haroldo Cathedral
