deputado1,deputado2,peso
Sonize Barbosa,Mauricio Neves,1
Sonize Barbosa,Helder Salomão,2
Sonize Barbosa,Bohn Gass,1
Sonize Barbosa,Delegado Caveira,1
Sonize Barbosa,Reginete Bispo,1
Sonize Barbosa,Ana Paula Lima,1
Sonize Barbosa,Jack Rocha,1
Sonize Barbosa,Júnior Mano,1
Sonize Barbosa,Márcio Honaiser,1
Sonize Barbosa,Célio Studart,1
Sonize Barbosa,Lêda Borges,1
Sonize Barbosa,Dr. Frederico,1
Sonize Barbosa,Alceu Moreira,1
Sonize Barbosa,Marcelo Lima,1
Sonize Barbosa,Júlio Cesar,1
Sonize Barbosa,Flávio Nogueira,2
Sonize Barbosa,Luiz Carlos Motta,1
Sonize Barbosa,Pedro Uczai,1
Sonize Barbosa,Paulo Abi-Ackel,1
Sonize Barbosa,Felipe Carreras,1
Sonize Barbosa,Gilvan da Federal,1
Sonize Barbosa,Toninho Wandscheer,1
Sonize Barbosa,Márcio Jerry,1
Sonize Barbosa,Félix Mendonça Júnior,1
Sonize Barbosa,Bebeto,1
Sonize Barbosa,Yury do Paredão,1
Sonize Barbosa,Alencar Santana,3
Sonize Barbosa,Valmir Assunção,2
Sonize Barbosa,Zeca Dirceu,1
Sonize Barbosa,Marcelo Moraes,1
Sonize Barbosa,Adolfo Viana,1
Sonize Barbosa,Aureo Ribeiro,1
Sonize Barbosa,Gutemberg Reis,1
Sonize Barbosa,Marcos Pollon,1
Sonize Barbosa,Heitor Schuch,1
Sonize Barbosa,José Medeiros,1
Sonize Barbosa,Luiza Erundina,1
Sonize Barbosa,Ricardo Abrão,1
Sonize Barbosa,Antônio Doido,1
Sonize Barbosa,Clarissa Tércio,1
Sonize Barbosa,Zé Neto,1
Sonize Barbosa,Marcos Tavares,2
Sonize Barbosa,Bruno Farias,1
Sonize Barbosa,Luiz Antônio Corrêa,1
Sonize Barbosa,Lázaro Botelho,1
Sonize Barbosa,Da Vitoria,1
Sonize Barbosa,Marco Brasil,1
Sonize Barbosa,Cobalchini,2
Sonize Barbosa,Luizianne Lins,1
Sonize Barbosa,Castro Neto,1
Sonize Barbosa,Sargento Gonçalves,1
Sonize Barbosa,Carlos Chiodini,1
Sonize Barbosa,Emanuel Pinheiro Neto,1
Sonize Barbosa,Leônidas Cristino,1
Sonize Barbosa,Rodrigo Estacho,1
Sonize Barbosa,Carlos Zarattini,1
Sonize Barbosa,Mario Frias,1
Sonize Barbosa,Greyce Elias,1
Sonize Barbosa,Paulo Guedes,1
Sonize Barbosa,Prof. Reginaldo Veras,1
Sonize Barbosa,Orlando Silva,1
Sonize Barbosa,Reginaldo Lopes,1
Sonize Barbosa,Sergio Souza,1
Sonize Barbosa,Delegado Fabio Costa,3
Sonize Barbosa,Pastor Diniz,1
Sonize Barbosa,Henderson Pinto,1
Sonize Barbosa,Lebrão,1
Sonize Barbosa,Paulo Azi,1
